file,tranche,eng,tier,status,inSize,outSize,saved,ssimMin,ssimMean,dim,renderFail,opens,qpdfOk,secs,note,flagged
arxiv-2607.05088.pdf,arxiv,gs,q150,,18733297,728084,96.11,0.993,0.995,false,false,true,true,14.4,,
arxiv-2607.05088.pdf,arxiv,gs,q72,,18733297,665220,96.45,0.992,0.995,false,false,true,true,14.48,,
arxiv-2607.05088.pdf,arxiv,mutool,lossless,,18733297,18640514,0.5,1,1,false,false,true,false,0.04,,
arxiv-2607.05088.pdf,arxiv,mutool,q300,,18733297,9316301,50.27,1,1,false,false,true,false,1.06,,
arxiv-2607.05088.pdf,arxiv,mutool,q150,,18733297,6414382,65.76,1,1,false,false,true,false,0.99,,
arxiv-2607.05088.pdf,arxiv,mutool,q72,,18733297,3179637,83.03,0.998,1,false,false,true,false,0.69,,
arxiv-2607.05088.pdf,arxiv,qpdf,lossless,,18733297,18835067,-0.54,1,1,false,false,true,true,4.84,,
arxiv-2607.05093.pdf,arxiv,hyper,lossless,,1493705,1235921,17.26,1,1,false,false,true,true,0.19,,
arxiv-2607.05093.pdf,arxiv,hyper,q300,,1493705,669562,55.17,1,1,false,false,true,true,0.31,,
arxiv-2607.05093.pdf,arxiv,hyper,q150,,1493705,527707,64.67,0.998,1,false,false,true,true,0.21,,
arxiv-2607.05093.pdf,arxiv,hyper,q72,,1493705,497468,66.7,0.996,0.999,false,false,true,true,0.17,,
arxiv-2607.05093.pdf,arxiv,gs,lossless,,1493705,832062,44.3,0.994,0.999,false,false,true,true,0.47,,
arxiv-2607.05093.pdf,arxiv,gs,q300,,1493705,698040,53.27,0.994,0.999,false,false,true,true,0.55,,
arxiv-2607.05093.pdf,arxiv,gs,q150,,1493705,455829,69.48,0.993,0.998,false,false,true,true,2.36,,
arxiv-2607.05093.pdf,arxiv,gs,q72,,1493705,403701,72.97,0.993,0.998,false,false,true,true,2.43,,
arxiv-2607.05093.pdf,arxiv,mutool,lossless,,1493705,1455467,2.56,1,1,false,false,true,true,0.02,,
arxiv-2607.05093.pdf,arxiv,mutool,q300,,1493705,1433707,4.02,1,1,false,false,true,true,0.15,,
arxiv-2607.05093.pdf,arxiv,mutool,q150,,1493705,857258,42.61,1,1,false,false,true,true,0.11,,
arxiv-2607.05093.pdf,arxiv,mutool,q72,,1493705,728675,51.22,0.999,1,false,false,true,true,0.09,,
arxiv-2607.05093.pdf,arxiv,qpdf,lossless,,1493705,1347066,9.82,1,1,false,false,true,true,0.15,,
arxiv-2607.05150.pdf,arxiv,hyper,lossless,,6083825,5296163,12.95,1,1,false,false,true,true,0.71,,
arxiv-2607.05150.pdf,arxiv,hyper,q300,,6083825,1382937,77.27,1,1,false,false,true,true,1.03,,
arxiv-2607.05150.pdf,arxiv,hyper,q150,,6083825,1174888,80.69,0.994,0.999,false,false,true,true,0.87,,
arxiv-2607.05150.pdf,arxiv,hyper,q72,,6083825,1079587,82.25,0.992,0.999,false,false,true,true,0.69,,
arxiv-2607.05150.pdf,arxiv,gs,lossless,,6083825,1643550,72.98,0.991,0.999,false,false,true,true,1.33,,
arxiv-2607.05150.pdf,arxiv,gs,q300,,6083825,1385735,77.22,0.991,0.999,false,false,true,true,1.37,,
arxiv-2607.05150.pdf,arxiv,gs,q150,,6083825,716257,88.23,0.989,0.998,false,false,true,true,11.74,,
arxiv-2607.05150.pdf,arxiv,gs,q72,,6083825,501743,91.75,0.989,0.998,false,false,true,true,11.94,,
arxiv-2607.05150.pdf,arxiv,mutool,lossless,,6083825,5893505,3.13,1,1,false,false,true,true,0.04,,
arxiv-2607.05150.pdf,arxiv,mutool,q300,,6083825,3669767,39.68,0.97,0.996,false,false,true,true,0.39,,
arxiv-2607.05150.pdf,arxiv,mutool,q150,,6083825,2259781,62.86,0.97,0.996,false,false,true,true,0.3,,
arxiv-2607.05150.pdf,arxiv,mutool,q72,,6083825,1851478,69.57,0.97,0.996,false,false,true,true,0.27,,
arxiv-2607.05150.pdf,arxiv,qpdf,lossless,,6083825,5480117,9.92,1,1,false,false,true,true,0.52,,
arxiv-2607.05204.pdf,arxiv,hyper,lossless,,9714711,9514502,2.06,1,1,false,false,true,true,2.58,,
arxiv-2607.05204.pdf,arxiv,hyper,q300,,9714711,804956,91.71,0.997,0.999,false,false,true,true,0.57,,
arxiv-2607.05204.pdf,arxiv,hyper,q150,,9714711,442844,95.44,0.981,0.997,false,false,true,true,0.47,,
arxiv-2607.05204.pdf,arxiv,hyper,q72,,9714711,226890,97.66,0.976,0.993,false,false,true,true,0.32,,
arxiv-2607.05204.pdf,arxiv,gs,lossless,,9714711,1285928,86.76,0.996,0.999,false,false,true,true,0.82,,
arxiv-2607.05204.pdf,arxiv,gs,q300,,9714711,1076176,88.92,0.996,0.999,false,false,true,true,0.82,,
arxiv-2607.05204.pdf,arxiv,gs,q150,,9714711,562230,94.21,0.985,0.997,false,false,true,true,0.71,,
arxiv-2607.05204.pdf,arxiv,gs,q72,,9714711,265936,97.26,0.975,0.993,false,false,true,true,0.81,,
arxiv-2607.05204.pdf,arxiv,mutool,lossless,,9714711,9661756,0.55,1,1,false,false,true,true,0.02,,
arxiv-2607.05204.pdf,arxiv,mutool,q300,,9714711,1048577,89.21,0.979,0.997,false,false,true,true,0.28,,
arxiv-2607.05204.pdf,arxiv,mutool,q150,,9714711,659508,93.21,0.979,0.994,false,false,true,true,0.25,,
arxiv-2607.05204.pdf,arxiv,mutool,q72,,9714711,398559,95.9,0.973,0.99,false,false,true,true,0.23,,
arxiv-2607.05204.pdf,arxiv,qpdf,lossless,,9714711,9664975,0.51,1,1,false,false,true,true,2.52,,
arxiv-2607.05268.pdf,arxiv,hyper,lossless,,2191018,1704672,22.2,1,1,false,false,true,true,2.27,,
arxiv-2607.05268.pdf,arxiv,hyper,q300,,2191018,818233,62.66,1,1,false,false,true,true,0.85,,
arxiv-2607.05268.pdf,arxiv,hyper,q150,,2191018,539358,75.38,0.995,0.999,false,false,true,true,0.39,,
arxiv-2607.05268.pdf,arxiv,hyper,q72,,2191018,367464,83.23,0.991,0.999,false,false,true,true,0.21,,
arxiv-2607.05268.pdf,arxiv,gs,lossless,,2191018,1444427,34.08,0.993,0.995,false,false,true,true,0.53,,
arxiv-2607.05268.pdf,arxiv,gs,q300,,2191018,1208667,44.84,0.993,0.995,false,false,true,true,0.55,,
arxiv-2607.05268.pdf,arxiv,gs,q150,,2191018,706860,67.74,0.991,0.994,false,false,true,true,0.49,,
arxiv-2607.05268.pdf,arxiv,gs,q72,,2191018,501487,77.11,0.986,0.994,false,false,true,true,0.5,,
arxiv-2607.05268.pdf,arxiv,mutool,lossless,,2191018,2050254,6.42,1,1,false,false,true,true,0.04,,
arxiv-2607.05268.pdf,arxiv,mutool,q300,,2191018,1169372,46.63,1,1,false,false,true,true,0.18,,
arxiv-2607.05268.pdf,arxiv,mutool,q150,,2191018,848625,61.27,0.996,0.999,false,false,true,true,0.15,,
arxiv-2607.05268.pdf,arxiv,mutool,q72,,2191018,685983,68.69,0.991,0.999,false,false,true,true,0.13,,
arxiv-2607.05268.pdf,arxiv,qpdf,lossless,,2191018,2011376,8.2,1,1,false,false,true,true,2.19,,
arxiv-2607.05325.pdf,arxiv,hyper,lossless,,2842784,2680926,5.69,1,1,false,false,true,true,0.63,,
arxiv-2607.05325.pdf,arxiv,hyper,q300,,2842784,916793,67.75,1,1,false,false,true,true,0.43,,
arxiv-2607.05325.pdf,arxiv,hyper,q150,,2842784,226479,92.03,0.991,0.998,false,false,true,true,0.18,,
arxiv-2607.05325.pdf,arxiv,hyper,q72,,2842784,135076,95.25,0.979,0.997,false,false,true,true,0.11,,
arxiv-2607.05325.pdf,arxiv,gs,lossless,,2842784,1440940,49.31,0.997,1,false,false,true,true,0.27,,
arxiv-2607.05325.pdf,arxiv,gs,q300,,2842784,1045636,63.22,0.997,1,false,false,true,true,0.27,,
arxiv-2607.05325.pdf,arxiv,gs,q150,,2842784,260725,90.83,0.991,0.998,false,false,true,true,0.24,,
arxiv-2607.05325.pdf,arxiv,gs,q72,,2842784,161211,94.33,0.981,0.997,false,false,true,true,0.29,,
arxiv-2607.05325.pdf,arxiv,mutool,lossless,,2842784,2825920,0.59,1,1,false,false,true,true,0.02,,
arxiv-2607.05325.pdf,arxiv,mutool,q300,,2842784,1137117,60,1,1,false,false,true,true,0.12,,
arxiv-2607.05325.pdf,arxiv,mutool,q150,,2842784,424502,85.07,0.991,0.998,false,false,true,true,0.07,,
arxiv-2607.05325.pdf,arxiv,mutool,q72,,2842784,306179,89.23,0.98,0.997,false,false,true,true,0.06,,
arxiv-2607.05325.pdf,arxiv,qpdf,lossless,,2842784,2825962,0.59,1,1,false,false,true,true,0.58,,
arxiv-2607.05354.pdf,arxiv,hyper,lossless,,7329371,5897853,19.53,1,1,false,false,true,true,1.35,,
arxiv-2607.05354.pdf,arxiv,hyper,q300,,7329371,704438,90.39,0.999,1,false,false,true,true,0.87,,
arxiv-2607.05354.pdf,arxiv,hyper,q150,,7329371,459737,93.73,0.99,0.998,false,false,true,true,0.59,,
arxiv-2607.05354.pdf,arxiv,hyper,q72,,7329371,452564,93.83,0.97,0.992,false,false,true,true,0.46,,
arxiv-2607.05354.pdf,arxiv,gs,lossless,,7329371,2289147,68.77,1,1,false,false,true,true,1.58,,
arxiv-2607.05354.pdf,arxiv,gs,q300,,7329371,1682861,77.04,1,1,false,false,true,true,1.59,,
arxiv-2607.05354.pdf,arxiv,gs,q150,,7329371,700873,90.44,0.998,0.999,false,false,true,true,1.72,,
arxiv-2607.05354.pdf,arxiv,gs,q72,,7329371,488739,93.33,0.995,0.998,false,false,true,true,1.56,,
arxiv-2607.05354.pdf,arxiv,mutool,lossless,,7329371,6058891,17.33,1,1,false,false,true,true,0.04,,
arxiv-2607.05354.pdf,arxiv,mutool,q300,,7329371,6131709,16.34,1,1,false,false,true,true,0.88,,
arxiv-2607.05354.pdf,arxiv,mutool,q150,,7329371,2835517,61.31,1,1,false,false,true,true,0.63,,
arxiv-2607.05354.pdf,arxiv,mutool,q72,,7329371,1116292,84.77,0.998,1,false,false,true,true,0.44,,
arxiv-2607.05354.pdf,arxiv,qpdf,lossless,,7329371,7240853,1.21,1,1,false,false,true,true,0.08,,
arxiv-2607.04140.pdf,arxiv,hyper,lossless,,955591,569863,40.37,1,1,false,false,true,true,0.53,,
arxiv-2607.04140.pdf,arxiv,hyper,q300,,955591,569863,40.37,1,1,false,false,true,true,0.7,,
arxiv-2607.04140.pdf,arxiv,hyper,q150,,955591,330891,65.37,0.995,0.999,false,false,true,true,0.17,,
arxiv-2607.04140.pdf,arxiv,hyper,q72,,955591,274697,71.25,0.991,0.999,false,false,true,true,0.15,,
arxiv-2607.04140.pdf,arxiv,gs,lossless,,955591,655823,31.37,0.998,1,false,false,true,true,0.42,,
arxiv-2607.04140.pdf,arxiv,gs,q300,,955591,622655,34.84,0.941,0.993,false,false,true,true,0.41,,
arxiv-2607.04140.pdf,arxiv,gs,q150,,955591,388362,59.36,0.941,0.992,false,false,true,true,0.4,,
arxiv-2607.04140.pdf,arxiv,gs,q72,,955591,283032,70.38,0.941,0.991,false,false,true,true,0.36,,
arxiv-2607.04140.pdf,arxiv,mutool,lossless,,955591,792953,17.02,1,1,false,false,true,true,0.04,,
arxiv-2607.04140.pdf,arxiv,mutool,q300,,955591,791008,17.22,0.979,0.995,false,false,true,true,0.15,,
arxiv-2607.04140.pdf,arxiv,mutool,q150,,955591,614846,35.66,0.979,0.995,false,false,true,true,0.14,,
arxiv-2607.04140.pdf,arxiv,mutool,q72,,955591,524630,45.1,0.979,0.994,false,false,true,true,0.11,,
arxiv-2607.04140.pdf,arxiv,qpdf,lossless,,955591,835595,12.56,1,1,false,false,true,true,0.32,,
arxiv-2607.04391.pdf,arxiv,hyper,lossless,,1142832,351830,69.21,1,1,false,false,true,true,0.1,,
arxiv-2607.04391.pdf,arxiv,hyper,q300,,1142832,351657,69.23,1,1,false,false,true,true,0.12,,
arxiv-2607.04391.pdf,arxiv,hyper,q150,,1142832,351657,69.23,1,1,false,false,true,true,0.14,,
arxiv-2607.04391.pdf,arxiv,hyper,q72,,1142832,351635,69.23,1,1,false,false,true,true,0.1,,
arxiv-2607.04391.pdf,arxiv,gs,lossless,,1142832,441844,61.34,0.993,0.994,false,false,true,true,0.32,,
arxiv-2607.04391.pdf,arxiv,gs,q300,,1142832,215401,81.15,0.727,0.961,false,false,true,true,0.23,,
arxiv-2607.04391.pdf,arxiv,gs,q150,,1142832,206059,81.97,0.727,0.961,false,false,true,true,0.22,,
arxiv-2607.04391.pdf,arxiv,gs,q72,,1142832,206057,81.97,0.727,0.961,false,false,true,true,0.22,,
arxiv-2607.04391.pdf,arxiv,mutool,lossless,,1142832,860976,24.66,1,1,false,false,true,true,0.03,,
arxiv-2607.04391.pdf,arxiv,mutool,q300,,1142832,859646,24.78,1,1,false,false,true,true,0.07,,
arxiv-2607.04391.pdf,arxiv,mutool,q150,,1142832,859646,24.78,1,1,false,false,true,true,0.06,,
arxiv-2607.04391.pdf,arxiv,mutool,q72,,1142832,859646,24.78,1,1,false,false,true,true,0.07,,
arxiv-2607.04391.pdf,arxiv,qpdf,lossless,,1142832,1087175,4.87,1,1,false,false,true,true,0.12,,
arxiv-2607.04469.pdf,arxiv,hyper,lossless,,1344101,935118,30.43,1,1,false,false,true,true,0.72,,
arxiv-2607.04469.pdf,arxiv,hyper,q300,,1344101,331585,75.33,0.998,1,false,false,true,true,0.6,,
arxiv-2607.04469.pdf,arxiv,hyper,q150,,1344101,193352,85.61,0.992,0.998,false,false,true,true,0.37,,
arxiv-2607.04469.pdf,arxiv,hyper,q72,,1344101,125301,90.68,0.99,0.998,false,false,true,true,0.28,,
arxiv-2607.04469.pdf,arxiv,gs,lossless,,1344101,950935,29.25,0.998,1,false,false,true,true,0.53,,
arxiv-2607.04469.pdf,arxiv,gs,q300,,1344101,664093,50.59,0.998,1,false,false,true,true,0.54,,
arxiv-2607.04469.pdf,arxiv,gs,q150,,1344101,216950,83.86,0.993,0.998,false,false,true,true,0.44,,
arxiv-2607.04469.pdf,arxiv,gs,q72,,1344101,137642,89.76,0.99,0.998,false,false,true,true,0.55,,
arxiv-2607.04469.pdf,arxiv,mutool,lossless,,1344101,1305279,2.89,1,1,false,false,true,true,0.02,,
arxiv-2607.04469.pdf,arxiv,mutool,q300,,1344101,789811,41.24,0.998,1,false,false,true,true,0.32,,
arxiv-2607.04469.pdf,arxiv,mutool,q150,,1344101,370216,72.46,0.993,0.999,false,false,true,true,0.24,,
arxiv-2607.04469.pdf,arxiv,mutool,q72,,1344101,265537,80.24,0.989,0.998,false,false,true,true,0.21,,
arxiv-2607.04469.pdf,arxiv,qpdf,lossless,,1344101,1066213,20.67,1,1,false,false,true,true,0.63,,
arxiv-2607.04566.pdf,arxiv,hyper,lossless,,1669516,1426842,14.54,1,1,false,false,true,true,1.28,,
arxiv-2607.04566.pdf,arxiv,hyper,q300,,1669516,392504,76.49,1,1,false,false,true,true,0.26,,
