file,tranche,bytes,pages,encrypted,signed,tagged,hasForms,sha256,origin_url,orig_name
arxiv-2606.17736.pdf,arxiv,641557,16,false,false,false,false,61697e03e6e9e36e8c04c09fedfbc4faddeb347abe6145bce174d37f370c2d0b,https://arxiv.org/abs/2606.17736v1,2606.17736v1
arxiv-2606.17742.pdf,arxiv,16071195,33,false,false,false,false,adfb27228e25bb1800e29f9c6c626a3bff8173db22d55a906a6dc161b61e5ce4,https://arxiv.org/abs/2606.17742v1,2606.17742v1
arxiv-2606.17745.pdf,arxiv,1894228,21,false,false,false,false,2fdd305b13003bc5d49adef24be846c37fdcc12015cd82af866c29af4b3edc5d,https://arxiv.org/abs/2606.17745v2,2606.17745v2
arxiv-2606.18667.pdf,arxiv,11400075,19,false,false,false,false,27219fc0691f3169b0d5df0d73cb8c667a91bcea9f484175a9bae9e102b3d81c,https://arxiv.org/abs/2606.18667v1,2606.18667v1
arxiv-2606.19081.pdf,arxiv,7806548,13,false,false,false,false,0e295f315642d2c66e3a93215920b468340e5633d0670c39dc13d865f170e65e,https://arxiv.org/abs/2606.19081v1,2606.19081v1
arxiv-2606.20096.pdf,arxiv,3904241,16,false,false,false,false,2ecc65c99fb09088d9f88e7718bbab2224ed334039a1c3e21385de5ad7cda420,https://arxiv.org/abs/2606.20096v1,2606.20096v1
arxiv-2606.20345.pdf,arxiv,461605,6,false,false,false,false,d69d9d254c67e232757949210b8314335974bcf35f94435a505264cfe7da91a4,https://arxiv.org/abs/2606.20345v2,2606.20345v2
arxiv-2606.20733.pdf,arxiv,11028358,23,false,false,false,false,374de99b814bbcc469b8db9e21fa97c89b604d444eeb3ba654d9a57699b7e1ea,https://arxiv.org/abs/2606.20733v1,2606.20733v1
arxiv-2606.20844.pdf,arxiv,680278,29,false,false,true,false,0a274a45e4782b6dff2a70ffe8e95d7d4d2c37396967268af355c56836a09c51,https://arxiv.org/abs/2606.20844v1,2606.20844v1
arxiv-2606.21432.pdf,arxiv,513870,21,false,false,false,false,b9ea03cad3ac471c17c4109e7ff8bfa30889a9bee48d0ab6251f2177a9b5cbf2,https://arxiv.org/abs/2606.21432v1,2606.21432v1
arxiv-2606.21508.pdf,arxiv,2204165,23,false,false,false,false,3925cf93966cf017eafede388ea49dd36d7b5ed9eb70a7e0f96c3f3ba2e23938,https://arxiv.org/abs/2606.21508v1,2606.21508v1
arxiv-2606.21703.pdf,arxiv,2315720,6,false,false,false,false,0ccbb3d4744e17f952326db6e75588dc16c45adb5228149fc1ed2b11843871e4,https://arxiv.org/abs/2606.21703v1,2606.21703v1
